CNVofInterest,Syndrome,Locus,Chr,Start,Stop,Length,Pos_start,Pos_stop,hg19_original,n,source,hg19_converted
8p23.1,8p23.1,8p23.1,8,8098990,11872558,3773568,7098990,13272558,"chr8:8,098,990-11,872,558",2,Kendalletal2017,chr8:8098990-11872558
9q34_EHMT1,9q34_EHMT1,9q34 ,9,140513444,140730578,217134,140113444,141130578,"chr9:140,513,444-140,730,578",2,Kendalletal2017,chr9:140513444-140730578
10q11.22-23,10q11.21q11.23,10q11.21q11.23,10,49390199,51058796,1668597,48090199,51658796,"chr10:49,390,199-51,058,796",2,Kendalletal2017,chr10:49390199-51058796
10q23_NRG3_GRID1,"10q23_NRG3,GRID1",10q22q23,10,82045472,88931651,6886179,81645472,89331651,"chr10:82,045,472-88,931,651",2,Kendalletal2017,chr10:82045472-88931651
11p11.2_EXT2,11p11.2_EXT2_Potocki_shaffer,11p11.2 ,11,43940000,46020000,2080000,43540000,46420000,"chr11:43,940,000-46,020,000",2,Kendalletal2017,chr11:43940000-46020000
13q12.11 ZMYM5,13q12_CRYL1,13q12 ,13,20977806,21100012,122206,20577806,21500012,"chr13:20,977,806-21,100,012",2,Kendalletal2017,chr13:20977806-21100012
13q12.12,13q12.12,13q12.12,13,23555358,24884622,1329264,23155358,25284622,"chr13:23,555,358-24,884,622",2,Kendalletal2017,chr13:23555358-24884622
15q11.2,15q11.2BP1-BP2,15q11.2,15,22805313,23094530,289217,22405313,24094530,"chr15:22,805,313-23,094,530",2,Kendalletal2017,chr15:22805313-23094530
15q11.2-13.1_BP1-2,15q11.2q12_PWS_AS,15q11.2q12,15,22805313,28390339,5585026,21505313,28990339,"chr15:22,805,313-28390339",2,Kendalletal2017,chr15:22805313-28390339
15q13.1_BP3-4,"15q11q13BP3-BP4_APBA2,TJP1",15q13.1q13.2,15,29161368,30375967,1214599,28561368,31075967,"chr15:29,161,368-30,375,967",2,Kendalletal2017,chr15:29161368-30375967
15q11q13_BP3_BP5,15q11q13BP3-BP5,15q13.1q13.3,15,29161368,32462776,3301408,28061368,33253068,"chr15:29,161,368-32462776",2,Kendalletal2017,chr15:29161368-32462776
15q13.3_BP4-BP5,15q13.3BP4-BP5,15q13.3 ,15,31080645,32462776,1382131,30280645,33253068,"chr15:31,080,645-32,462,776",2,Kendalletal2017,chr15:31080645-32462776
15q13.3_BP4.5-BP5,15q13.3_CHRNA7,15q13.3 ,15,32017070,32453068,435998,31617070,33253068,"chr15:32,017,070-32,453,068",2,Kendalletal2017,chr15:32017070-32453068
15q24,15q24,15q24,15,72900171,78151253,5251082,72500171,78551253,chr15:72900171-78151253,2,Kendalletal2017,chr15:72900171-78151253
15q25,15q25,15q25.2,15,83219735,85722039,2502304,82019735,86122039,"chr15:83,219,735-85,722,039",2,Kendalletal2017,chr15:83219735-85722039
16p13.3_Rubinstein_Taybi_CREBBP,Rubinstein-Taybi_CREBBP,16p13.3 ,16,3775056,3930121,155065,3375056,4330121,"chr16:3,775,056-3,930,121",2,Kendalletal2017,chr16:3775056-3930121
16p13.11,16p13.11,16p13.11,16,15511655,16293689,782034,14111655,16693689,"chr16:15,511,655-16,293,689",2,Kendalletal2017,chr16:15511655-16293689
16p12.2-p11.2,16p12.2-p11.2_7.1-8.7Mb,16p11.2p12.1,16,21596415,28347808,6751393,21196415,28747808,"chr16:21,596,415-28,347,808",2,Kendalletal2017,chr16:21596415-28347808
16p12.1,16p12.1_520kb,16p12.1,16,21950135,22431889,481754,21550135,22831889,"chr16:21,950,135-22,431,889",2,Kendalletal2017,chr16:21950135-22431889
16p11.2_distal,16p11.2distal_220kb,16p11.2,16,28823196,29046783,223587,28423196,29446783,"chr16:28,823,196-29,046,783",2,Kendalletal2017,chr16:28823196-29046783
16p11.2_distalprox,16p11.2distalprox,16p11.2,16,28453196,30200773,1747577,28053196,30600773,"chr16:28,453,196-30,200,773",1,own,chr16:28453196-30200773
16p11.2_proximal,16p11.2_593kb,16p11.2,16,29650840,30200773,549933,29250840,30600773,"chr16:29,650,840-30,200,773",2,Kendalletal2017,chr16:29650840-30200773
17p13.3_YWHAE,17p13.3_YWHAE,17p13.3 ,17,1247834,1303556,55722,847834,1703556,"chr17:1,247,834-1,303,556",2,Kendalletal2017,chr17:1247834-1303556
17p13.3_PAFAH1B1,17p13.3_PAFAH1B1,17p13.3 ,17,2496923,2588909,91986,2096923,2988909,"chr17:2,496,923-2,588,909",2,Kendalletal2017,chr17:2496923-2588909
17p12,"17p12_Charcot_Marie,HereditaryNeuropathy_NNPP",17p12,17,14141387,15426961,1285574,13541387,16026961,"chr17:14,141,387-15,426,961",2,Kendalletal2017,chr17:14141387-15426961
17p11.2,"17p11.2_Smith_Mageni,Potocki_Lupski",17p11.2,17,16812771,20211017,3398246,16412771,20611017,"chr17:16,812,771-20,211,017",2,Kendalletal2017,chr17:16812771-20211017
17q11.2_NF1,17q11.2_NF1,17q11.2,17,29107491,30265075,1157584,28707491,30665075,"chr17:29,107,491-30,265,075",2,Kendalletal2017,chr17:29107491-30265075
17q12,17q12_RenalCysts_RCAD,17q12,17,34815904,36217432,1401528,34415904,36617432,"chr17:34,815,904-36,217,432",2,Kendalletal2017,chr17:34815904-36217432
17q21.31,17q21.31,17q21.31,17,43705356,44164691,459335,43305356,44564691,"chr17:43,705,356-44,164,691",2,Kendalletal2017,chr17:43705356-44164691
17q23.1q23.2,17q23.1q23.2,17q23.1q23.2,17,58302389,60289141,1986752,57902389,60689141,"chr17:58,302,389-60,289,141",2,Kendalletal2017,chr17:58302389-60289141
22q11_3Mb,22q11.2,22q11.2,22,19037332,21466726,2429394,18337332,22066726,"chr22:19,037,332-21,466,726",2,Kendalletal2017,chr22:19037332-21466726
22q11_AB,22q11.2,22q11.2,22,19037332,20120000,1082668,18337332,20720000,_,2,own,_
22q11_distal,22q11.2distal,22q11.2,22,21920127,23653646,1733519,21020127,25253646,"chr22:21,920,127-23,653,646",2,Kendalletal2017,chr22:21920127-23653646
SHANK3,SHANK3,22q13,22,51113070,51171640,58570,50713070,52271640,chr22:51113070-51171640,2,Kendalletal2017,chr22:51113070-51171640
