CNVofInterest,Syndrome,Locus,Chr,Start,Stop,Length,Pos_start,Pos_stop,hg19_original,n,source,hg19_forconvert,hg18_converted
16p11.2_distalprox,16p11.2distalprox,16p11.2,16,28730697,30108274,1377577,28430697,30508274,_,2,own,chr16:28823196-30200773,chr16:28730697-30108274
16p11.2_proximal,16p11.2_593kb,16p11.2,16,29558341,30108274,549933,29158341,30508274,"chr16:29,650,840-30,200,773",2,Kendalletal2017,chr16:29650840-30200773,chr16:29558341-30108274
17p13.3_YWHAE,17p13.3_YWHAE,17p13.3 ,17,1194584,1250306,55722,794584,1650306,"chr17:1,247,834-1,303,556",2,Kendalletal2017,chr17:1247834-1303556,chr17:1194584-1250306
17p13.3_PAFAH1B1,17p13.3_PAFAH1B1,17p13.3 ,17,2443673,2535659,91986,2043673,2935659,"chr17:2,496,923-2,588,909",2,Kendalletal2017,chr17:2496923-2588909,chr17:2443673-2535659
17p12,"17p12_Charcot_Marie,HereditaryNeuropathy_NNPP",17p12,17,14082112,15367686,1285574,13382112,16067686,"chr17:14,141,387-15,426,961",2,Kendalletal2017,chr17:14141387-15426961,chr17:14082112-15367686
17p11.2,"17p11.2_Smith_Mageni,Potocki_Lupski",17p11.2,17,16753496,20151609,3398113,13553496,22051609,"chr17:16,812,771-20,211,017",2,Kendalletal2017,chr17:16812771-20211017,chr17:16753496-20151609
17q11.2_NF1,17q11.2_NF1,17q11.2,17,26131617,27289188,1157571,25431617,27989188,"chr17:29,107,491-30,265,075",2,Kendalletal2017,chr17:29107491-30265075,chr17:26131617-27289188
17q12,17q12_RenalCysts_RCAD,17q12,17,31890017,33291545,1401528,30590017,34591545,"chr17:34,815,904-36,217,432",2,Kendalletal2017,chr17:34815904-36217432,chr17:31890017-33291545
17q21.31,17q21.31,17q21.31,17,41061139,41520509,459370,40361139,43620509,"chr17:43,705,356-44,164,691",2,Kendalletal2017,chr17:43705356-44164691,chr17:41061139-41520509
17q23.1q23.2,17q23.1q23.2,17q23.1q23.2,17,55657171,57643923,1986752,55057171,58343923,"chr17:58,302,389-60,289,141",2,Kendalletal2017,chr17:58302389-60289141,chr17:55657171-57643923
22q11_3Mb,22q11.2,22q11.2,22,17417332,19796726,2379394,16217332,21196726,"chr22:19,037,332-21,466,726",2,Kendalletal2017,chr22:19037332-21466726,chr22:17417332-19796726
22q11_AB,22q11.2,22q11.2,22,17417332,18500000,1082668,16217332,19500000,_,2,own,_,-
22q21_distal,22q11.2distal,22q11.2,22,20250127,21983646,1733519,19850127,22383646,"chr22:21,920,127-23,653,646",2,Kendalletal2017,chr22:21920127-23653646,chr22:20250127-21983646
SHANK3,SHANK3,22q13,22,49459936,49518506,58570,49059936,49918506,chr22:51113070-51171640,2,Kendalletal2017,chr22:51113070-51171640,chr22:49459936-49518506
